field_1	heap
field_10320	LIGHT_GRAY_SHULKER_BOX
field_10321	LIGHT_BLUE_CONCRETE_POWDER
field_10322	POLISHED_ANDESITE_SLAB
field_10323	SPRUCE_TRAPDOOR
field_10324	POTTED_BROWN_MUSHROOM
field_10325	LIGHT_BLUE_TERRACOTTA
field_10326	LIGHT_GRAY_BED
field_10327	BEACON
field_10328	RED_TERRACOTTA
field_10329	POLISHED_GRANITE_SLAB
field_1033	skipKnownStructures
field_10330	DARK_OAK_SIGN
field_10331	ATTACHED_PUMPKIN_STEM
field_10332	SPRUCE_PRESSURE_PLATE
field_10333	BREWING_STAND
field_10334	JUNGLE_PLANKS
field_10335	JUNGLE_LEAVES
field_10336	TORCH
field_10337	DRAGON_HEAD
field_10338	GREEN_CARPET
field_10339	BRAIN_CORAL
field_1034	DEFAULT_DECORATION
field_10340	STONE
field_10341	BEETROOTS
field_10342	DRIED_KELP_BLOCK
field_10343	COBWEB
field_10344	RED_SANDSTONE
field_10345	LIGHT_BLUE_GLAZED_TERRACOTTA
field_10346	POLISHED_DIORITE
field_10347	DEAD_TUBE_CORAL_WALL_FAN
field_10348	TRIPWIRE_HOOK
field_10349	GRAY_TERRACOTTA
field_1035	destination
field_10350	PRISMARINE_STAIRS
field_10351	COBBLESTONE_SLAB
field_10352	BIRCH_DOOR
field_10353	GRAY_CONCRETE_POWDER
field_10354	POTTED_DANDELION
field_10355	CYAN_STAINED_GLASS_PANE
field_10356	YELLOW_BED
field_10357	GREEN_STAINED_GLASS
field_10358	POTTED_CORNFLOWER
field_10359	HAY_BLOCK
field_1036	mapDecoration
field_10360	SMOOTH_STONE
field_10361	CUT_SANDSTONE
field_10362	FARMLAND
field_10363	LEVER
field_10364	NETHER_BRICK_FENCE
field_10365	POTTED_AZURE_BLUET
field_10366	STRIPPED_BIRCH_LOG
field_10367	GREEN_CONCRETE
field_10368	PURPLE_BANNER
field_10369	STRUCTURE_VOID
field_1037	zoom
field_10370	BROWN_WALL_BANNER
field_10371	BLACK_SHULKER_BOX
field_10372	CYAN_WALL_BANNER
field_10373	BROWN_SHULKER_BOX
field_10374	STRIPPED_DARK_OAK_WOOD
field_10375	TNT
field_10376	SEAGRASS
field_10377	COMPARATOR
field_10378	LILAC
field_10379	PISTON_HEAD
field_1038	LOGGER
field_10380	TRAPPED_CHEST
field_10381	COAL_BLOCK
field_10382	WATER
field_10383	RED_GLAZED_TERRACOTTA
field_10384	BLUE_ICE
field_10385	ACACIA_SAPLING
field_10386	ANDESITE_STAIRS
field_10387	INFESTED_STONE_BRICKS
field_10388	SKELETON_WALL_SKULL
field_10389	PRISMARINE_SLAB
field_1039	destination
field_10390	NETHER_BRICK_SLAB
field_10391	BIRCH_WALL_SIGN
field_10392	STONE_BRICK_STAIRS
field_10393	PINK_CARPET
field_10394	OAK_SAPLING
field_10395	CHAIN_COMMAND_BLOCK
field_10396	DEAD_BUBBLE_CORAL_BLOCK
field_10397	ACACIA_PRESSURE_PLATE
field_10398	END_PORTAL_FRAME
field_10399	PURPLE_STAINED_GLASS
field_104	BANNER_PURPLE
field_1040	searchRadius
field_10400	POTTED_WHITE_TULIP
field_10401	ACACIA_WALL_SIGN
field_10402	MYCELIUM
field_10403	DARK_OAK_DOOR
field_10404	PURPLE_CONCRETE_POWDER
field_10405	MOSSY_COBBLESTONE_SLAB
field_10406	RED_BANNER
field_10407	ORANGE_SHULKER_BOX
field_10408	BIRCH_STAIRS
field_10409	BLUE_TERRACOTTA
field_1041	skipKnownStructures
field_10410	ORANGE_BED
field_10411	SPRUCE_SIGN
field_10412	POLISHED_DIORITE_SLAB
field_10413	RED_SANDSTONE_WALL
field_10414	DAMAGED_ANVIL
field_10415	TERRACOTTA
field_10416	CRACKED_STONE_BRICKS
field_10417	BIRCH_BUTTON
field_10418	COAL_ORE
field_10419	GREEN_STAINED_GLASS_PANE
field_1042	mapDecoration
field_10420	RED_SANDSTONE_STAIRS
field_10421	LIME_CONCRETE
field_10422	BUBBLE_COLUMN
field_10423	GRAY_WOOL
field_10424	SUGAR_CANE
field_10425	POWERED_RAIL
field_10426	PURPLE_GLAZED_TERRACOTTA
field_10427	BUBBLE_CORAL_FAN
field_10428	DEAD_BUSH
field_10429	DAYLIGHT_DETECTOR
field_1043	zoom
field_10430	ROSE_BUSH
field_10431	OAK_LOG
field_10432	PLAYER_HEAD
field_10433	CYAN_CARPET
field_10434	PINK_CONCRETE
field_10435	POLISHED_GRANITE_STAIRS
field_10436	STRIPPED_SPRUCE_LOG
field_10437	QUARTZ_PILLAR
field_10438	MAGENTA_BANNER
field_10439	BROWN_CONCRETE
field_1044	limiter
field_10440	STONE_STAIRS
field_10441	LAPIS_BLOCK
field_10442	DIAMOND_ORE
field_10443	ENDER_CHEST
field_10444	PINK_TERRACOTTA
field_10445	COBBLESTONE
field_10446	WHITE_WOOL
field_10447	BUBBLE_CORAL_WALL_FAN
field_10448	DEAD_TUBE_CORAL_FAN
field_10449	POPPY
field_10450	REPEATER
field_10451	QUARTZ_STAIRS
field_10452	LIGHT_BLUE_BANNER
field_10453	IRON_TRAPDOOR
field_10454	STONE_SLAB
field_10455	END_ROD
field_10456	BLUE_CONCRETE_POWDER
field_10457	ACACIA_FENCE_GATE
field_10458	BLACK_CONCRETE
field_10459	PINK_WOOL
field_10460	CLAY
field_10461	BLACK_BED
field_10462	END_STONE_BRICKS
field_10463	KELP_PLANT
field_10464	HORN_CORAL_BLOCK
field_10465	STRUCTURE_BLOCK
field_10466	WHITE_CARPET
field_10467	SMOOTH_SANDSTONE
field_10468	POTTED_OAK_SAPLING
field_10469	MAGENTA_STAINED_GLASS_PANE
field_1047	predicates
field_10470	DARK_OAK_PRESSURE_PLATE
field_10471	END_STONE
field_10472	DRAGON_WALL_HEAD
field_10473	BROWN_CARPET
field_10474	GRANITE
field_10475	GREEN_GLAZED_TERRACOTTA
field_10476	SEA_PICKLE
field_10477	SNOW
field_10478	RED_NETHER_BRICK_SLAB
field_10479	GRASS
field_1048	compositePredicates
field_10480	INFESTED_MOSSY_STONE_BRICKS
field_10481	SKELETON_SKULL
field_10482	MAGENTA_CARPET
field_10483	SMOOTH_RED_SANDSTONE
field_10484	OAK_PRESSURE_PLATE
field_10485	ENCHANTING_TABLE
field_10486	BIRCH_TRAPDOOR
field_10487	POTTED_DEAD_BUSH
field_10488	DEAD_HORN_CORAL_BLOCK
field_10489	ANDESITE_WALL
field_1049	conditions
field_10490	YELLOW_WOOL
field_10491	SNOW_BLOCK
field_10492	INFESTED_COBBLESTONE
field_10493	DARK_OAK_BUTTON
field_10494	STONE_BUTTON
field_10495	FLOWER_POT
field_10496	ORANGE_STAINED_GLASS_PANE
field_10497	RED_NETHER_BRICK_STAIRS
field_10498	FIRE_CORAL_WALL_FAN
field_10499	BARRIER
field_105	BANNER_BLUE
field_1050	constructor
field_10500	DARK_OAK_SLAB
field_10501	BLACK_GLAZED_TERRACOTTA
